,text,label
0,"""Investing In a Larger Down Payment: High Yields and No Risk"" is the title for ""Consumers looking to purchase a home within the near future face many decisions, including how large a down payment to make. The down payment is the sale price (confirmed by a appraisal) less the loan amount. In most cases, home purchasers must have financial assets at least as large as the down payment they make."".Generate a headline for the following article: Your loans were made at the height of the housing bubble, and looked like a great deal at the time. By using a HELOC as a ""piggyback"" second mortgage, you were not required to make a down payment or to purchase mortgage insurance.",The Pre-Crisis HELOC Chickens Are Coming Home to Roost
1,"""Some Recent Letters on Downsizing and Mortgage Lender Mistakes"" is the title for ""In pricing loans used to purchase a home, lenders distinguish three possible uses of the property. Mortgages used to purchase a house that the purchasers intend to occupy as their primary residence get the best price."".Generate a headline for the following article: Homeowners sell their homes and buy other homes for a variety of reasons including a need to live closer to a place of employment, to be closer to family, to enjoy a better climate, or simply to upgrade. This article is about finding the best sequence of steps in the process.",Selling a House to Buy a House
2,"""Why and How to Eliminate Mortgage Charges by Third Parties"" is the title for ""Third-party settlement costs could be eliminated by implementation of one simple rule: any service required by lenders as a condition for the granting of a home mortgage must be purchased and paid for by the lender."".Generate a headline for the following article: The tontine is an investment scheme where each of a group of participants pays a specified sum into a fund and receives a pro rata share of the income generated by the fund, but when a participant dies their share is divided among those remaining. As the number of participants dwindles, those remaining receive increasingly large distributions.",The Tontine: A 17th Century Solution to a 21st Century Problem
3,"""National Park Views Not To Be Missed (PHOTOS)"" is the title for ""America's national parks offer some of the most gorgeous scenery in the country, from Yellowstone to Florida. Here are some of our favorite views."".Generate a headline for the following article: Late spring and early summer bring prime weather for outdoor exploration, but these international national parks drop jaws year-round -- no Instagram filters needed.",The 5 Best National Parks In The World
4,"""Can You Recognize Your City From Above?"" is the title for ""Some of the best city views happen above the city. Click through for your own sky-high tour of the world..."".Generate a headline for the following article: The virtue of the infinity pool, besides the uninterrupted views of course, it the sense of privilege that comes from possessing your own private horizon.",7 Incredible Infinity Pools (PHOTOS)
5,"""Escape Route: Hotels With Secret Entrances and Exits"" is the title for ""If you've got the means and the desire, you can find several hotels around the country that offer stealth access for VIPs. Here are five of the coolest."".Generate a headline for the following article: After rounding up the best coastal drives in the U.S., Australia, and Ireland, you responded with your favorite ocean roads around the globe.",The World's Most Beautiful Coastal Drives
6,"""Ken Jennings, Jeopardy! Champ, Discovers A Nameless Town"" is the title for ""Because the ""Name"" field on the form had been left blank, the form was stamped ""Nameless,"" and the name stuck."".Generate a headline for the following article: In 2008, a Russian newspaper and TV channel held a massive competition to name the official ""Seven Wonders of Russia."" Topping the list was a place that few international tourists visit due to its remote location: the ""Blue Eye of Siberia,"" the ""Sacred Sea,"" sickle-shaped Lake Baikal.",This Gorgeous Lake Holds 1/5 of the Earth's Freshwater
7,"""Top 10 Small Cruise Ships In The World"" is the title for ""Condé Nast Traveler readers voted in our 2012 Cruise Poll and here are the results: the best small ships in the world."".Generate a headline for the following article: Every year in our annual Readers' Choice Awards, we ask our fellow travelers to rate the world's best hotels, islands, airlines, and cruise lines. Just in time for getting your mind off of fall, we present the best islands in the world.",The Best Islands in the World
8,"""Why Does It Take So Long to Get Through Airport Security?"" is the title for ""Although the TSA is set to expand its popular PreCheck fast lanes this fall, the agency is under pressure to speed up screening for even more fliers, so all aspects of the checkpoint experience are being scrutinized."".Generate a headline for the following article: 3. Val d'Isère, France What's cool: Though some bemoan this mega resort for being crowded, pricey, and even a bit gauche",The 5 Best Ski Resorts In Europe
9,"""For Your Daydreaming Pleasure: 7 Spas With Unbelievable Views"" is the title for ""All of these spa hotels and resorts are highly rated by our readers -- and all offer transporting natural surroundings to make your stay feel like a true escape."".Generate a headline for the following article: Private island dining, Michelin-starred meals, breakfast with elephants -- it's all on offer at these top-rated hotels from our 2013 Gold List.",World's Best Hotels For Food Lovers (PHOTOS)
10,"""Hotel Suites Good Enough For The President (PHOTOS)"" is the title for ""The commander-in-chief checks in and out of rooms across the globe, but only a few stateside properties have made the White House staff repeat customers -- check out these 13 hotels fit for a president."".Generate a headline for the following article: The entire list of 154 properties spans the globe, from a tiny one-suite find in Chiang Mai to a luxe safari camp in Tanzania",Best New Hotels Of 2013
11,"""10 Places to Skip During Spring Break, and Where to Go Instead"" is the title for ""Some of the world's most gorgeous beach destinations are taken hostage by crowds of rowdy college students in the delightful ritual known as Spring Break."".Generate a headline for the following article: One of the most famous landmarks on the Oregon coast is Haystack Rock, forever known as Goonies Rock, thanks to its appearance at the end of the 1981 kidventure flick The Goonies.",The 5 Best Coastal Drives In The World
12,"""Top 10 Small Cruise Ships In The World"" is the title for ""Condé Nast Traveler readers voted in our 2012 Cruise Poll and here are the results: the best small ships in the world."".Generate a headline for the following article: Beach season is officially here, and though there are many amazing shorelines to explore, our readers are partial to island beaches.",The 10 Best Island Beaches Around The World
13,"""Escape Route: Hotels With Secret Entrances and Exits"" is the title for ""If you've got the means and the desire, you can find several hotels around the country that offer stealth access for VIPs. Here are five of the coolest."".Generate a headline for the following article: Poor cigarette smokers. As nonsmoking spaces become the norm in the U.S. and around the world, it must be hard for them to find hotel rooms where they're allowed to light up.",Is the 'Smoketel' the Strangest Travel Idea Yet?
14,"""Visiting Famous Authors' Homes (PHOTOS)"" is the title for ""Authors' homes are their castles, offices and -- more often than not -- places of pilgrimage for their fans."".Generate a headline for the following article: Frozen treats are way more than just chocolate and vanilla in these far-flung countries.",Crazy Ice Cream Flavors From Around The World
15,"""How to Eat Healthy Around the World (Bone Broth, Anyone?)"" is the title for ""Almost every culture incorporates restorative foods into its cuisine as much for their delicious flavors as for their beneficial nutrients. Treat yourself to the best of both worlds."".Generate a headline for the following article: Pastry chefs like Dominique Ansel, François Payard and Andrea Litvin spend their days crafting up delicious sweets for the world to enjoy. But what are their favorite desserts? We find out.",Pastry Chefs Reveal Their Favorite Desserts Around the World
16,"""Hotel Suites Good Enough For The President (PHOTOS)"" is the title for ""The commander-in-chief checks in and out of rooms across the globe, but only a few stateside properties have made the White House staff repeat customers -- check out these 13 hotels fit for a president."".Generate a headline for the following article: Name recognition is the only thing you'll sacrifice if you swap out the usual tourist attractions for these lesser-known spots.",Great Alternatives To Common Tourist Traps
17,"""Rooftop Bars With Unbeatable Views (PHOTOS)"" is the title for ""We dig a hotel with a gorgeous view, so it's no surprise we can't stop staring at the photos of these rooftop bars, all atop Condé Nast Traveler-approved properties."".Generate a headline for the following article: We dig a hotel with a gorgeous view, so it's no surprise we can't stop staring at the photos of these 14 rooftop bars.",Rooftop Hotel Bars With Incredible Views
18,"""The Best New Bars of 2013"" is the title for ""No matter where you're hitting the town -- from New York to Shanghai -- these bars, clubs, and cocktail establishments will have you at the center of the city's nightlife scene."".Generate a headline for the following article: No matter where you choose, book any of these yoga retreats and you'll come back feeling zen, tan, and uh, bendy.","The Only Yoga Retreats Worth Visiting, According to Expert Yogis"
19,"""The Nervous Flier's Guide To Mid-Air Bumps And Glitches"" is the title for ""Despite the reassurance that you're more likely to win the lottery or be struck by lightning than end up in an aircraft accident, you still can't brush off all nervousness when it's time to board and news headlines of tech glitches and turbulence don't help the cause. Here, we explain a few bumps that may cause flying anxiety."".Generate a headline for the following article: You can't be a slave to the fashionistas when you're a slave to the overhead storage bin. My system may not be stylish, but it has stood the test of hundreds of thousands of air miles. Here is the unvarnished truth about what my wheelie looks like when you open it.",It Is Possible! How to Fit Everything You Need into One Carry-On
20,"""World's Most Obscure Flags Explained (PHOTOS)"" is the title for ""Let me take you on a guided tour of the 10 weirdest national flags to be found around the world."".Generate a headline for the following article: These hikes  may be the loveliest in the world. Go for a walk.",7 Great Hikes Around The World (PHOTOS)
21,"""How To Take Better Travel Photos"" is the title for ""Unhappy with your vacation snapshots? We tapped photographer Craig Easton for his best travel photo tips. Here, Easton shares his best advice for taking the best travel photos, whether you want to Instagram them or not."".Generate a headline for the following article: Airbnb CEO and cofounder Brian Chesky was in our office this morning talking about his company's plans for the future. While he mentioned many interesting things, the most fascinating was his list of the unexpected ways people use Airbnb.",5 Surprising Ways People Are Using Airbnb
